id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
11,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/XL2ZTO,1.2,"Ohio Longitudinal Study on Aging and Retirement, 1975-1995","The Ohio Longitudinal Study on Aging and Retirement was begun in 1975 to investigate certain aspects of the retirement process and their impact on the physical aging and the social adjustment of individuals.
<br /><br />  In 1975, Miami University's Scripps Foundation Gerontology Center launched a study of all adults who were age 50 or over living in Oxford Township, Ohio. More than 1,500 individuals were mailed a 42-item, self-administered questionnaire, consisting mainly of precoded items. Over 1,100 individuals returned questionnaires, 1,106 of which were usable.<br /><br />  The questionnaire tapped issues of retirement, leisure activities, life satisfaction, as well as basic demographic information such as age, employment status and history, marital status, etc.
<br /><br />  Follow-up questionnaires were mailed to participants in 1977, 1979, 1981, 1991, and 1995. Follow-up questionnaires were designed to assess changes in the respondents' lives and their subsequent effects. The 1977 and 1979 questionnaires essentially replicated the 1975 questionnaire. After the third wave, research objectives included factors involved in adjustment to retirement over time, adjustment to widowhood, intergenerational contact, and adjustment to physical limitations due to disability.<br /><br />  The Murray Research Archive holds numeric data files from the 1975, 1977, 1979, 1981, 1991, and 1995 waves of data collection.",,10.7910/DVN/XL2ZTO,2022-02-20,2026-04-20T23:17:20,harvard-murray-archive,10.7910_DVN_XL2ZTO,v1.2,API-CALL
12,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/MMEUGH,1.2,"Parenting Survey: A Comparison of Single Mothers, Single Fathers, Dual-Worker Couples, and Traditional Couples, 1983","The question addressed in this study was the degree to which gender-specific behavior is a result of socialization versus current role demands and situational opportunities. Researchers were interested in whether or not men develop traditionally female parenting styles appropriate to situational exigencies.
<br /><br />

Fifty-five single fathers whose youngest child was under 14 and living at home were surveyed, as well as comparison groups of 55 single mothers, 55 traditional couples in which the husband was the bread winner and the wife was not employed outside the home, and 55 dual paycheck couples. In order to standardize the responses, the questionnaire asked respondents about the relationship with their youngest child.<br /><br />

Data were collected by means of an anonymous questionnaire.
The questionnaire included sections on the parent's personal priorities, sex-role identification, personality traits, assessment of the parent-child relationship, and items regarding domestic responsibilities and child care.
<br /><br />

The Murray Research Archive holds numeric file data for the single and married parents surveyed. Data are available for all 110 single parents, all 110 married couples, and an additional 19 single mothers and 93 single fathers who did not meet selection criteria.",,10.7910/DVN/MMEUGH,2022-09-06,2026-04-20T23:17:35,harvard-murray-archive,10.7910_DVN_MMEUGH,v1.2,API-CALL
13,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/8EJQHM,3.3,"Correlates of Participation and Non-participation in the Women's Liberation Movement, 1972-1974","This study examines the correlates of participation in the women's liberation movement, particularly with regard to self-concept and the marital-power relationship. The data were collected between 1972 and 1974.<br /><br />

Respondents were 85 couples married at least two years; the wives were matched on four variables: age, education, number of children, and religion. Thirty-five of the wives had actively participated in organized women's liberation groups for at least six months; 15 women considered themselves feminists, but had not participated; and the remaining 35 were not involved in the women's movement and did not consider themselves feminists.<br /><br />

All of the respondents, male and female, filled out a questionnaire covering demographic variables, self-concept variables, and information on the marital relationship, especially the exertion of power in marriage. Each respondent was also interviewed by the researcher concerning his/her attitude toward the women's movement, reasons for participating or not participating (if female), and the effects of the movement on his/her life.<br /><br />

The Murray Research Archive holds all original record paper data (<b>paper data have been digitized and are available for access</b>).",,10.7910/DVN/8EJQHM,2022-03-30,2026-04-20T23:17:47,harvard-murray-archive,10.7910_DVN_8EJQHM,v3.3,API-CALL
14,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/LMSKXI,2.3,"Mothers: Their Stress and Coping Strategies in Response to Non-Traditional Behavior of Their Children, 1982-1983","These data were collected in 1982 and 1983 to identify common coping strategies utilized by mothers experiencing stress in relation to their children's actions.
<br /><br />

In-depth personal interviews were conducted with 32 mothers who defined their children's behavior in the following areas as stressful: substance abuse, divorce, cult or commune membership, incarceration, homosexuality, interracial marriage, suicide, unwed motherhood, and abortion.<br /><br />

In these interviews, the participants described the actions of their children which generated the stress and their own responses to this behavior. Participants were asked to relate what coping strategies they developed and what resources they used to overcome the stress. Demographic data including employment, family, marriage, education, and class information were obtained for each mother. The Loevinger Sentence Completion Test was administered to each mother to assess ego development.<br /><br />

The Murray Research Archive has acquired typed transcripts of the interviews, completed Loevinger Sentence Completion Tests, and biographical data sheets for all study participants",,10.7910/DVN/LMSKXI,2024-09-22,2026-04-20T23:17:54,harvard-murray-archive,10.7910_DVN_LMSKXI,v2.3,API-CALL
15,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/GQZA2U,7.2,"Kelly Longitudinal Study, 1935-1955","This study was designed as a seven-year longitudinal investigation of marital compatibility and other aspects of married life, such as fertility. Follow-up data collection was conducted almost 20 years after the initial contact (1954-1955), providing data spanning the period from young adulthood to middle age relevant to issues regarding the consistency of adult personality.
<br /><br />  Between 1935 and 1938, 300 engaged couples volunteered to respond to an extensive battery of physiological and psychological tests and measures. Couples agreed to notify the investigator of their marriage, or of the broken engagement. In 1954-1955, 512 of the original 600 spouses participated in the second wave of data collection. Participants completed mailed questionnaires containing both precoded and open-ended responses.<br /><br />  The data included scores on standardized psychological measures (Otis Self-Administering Test of Mental Ability, the Allport-Vernon Scale of Values, the Bernreuter Personality Inventory, the Bell Adjustment Inventory, Strong's Vocational Interest Inventory, Remmer's Generalized Attitude Scales, a 36-trait graphic Personality Rating Scale and, in the 1954-1955 follow-up, a version of Osgood's Semantic Differential). In addition, the questionnaires used at the time of the original data collection (1935-1938) included items concerning education; occupation; income; birth order; childhood family life; physical and mental health; child-rearing practices; respondent's sex education and experience; and solicited participants' opinions on the importance of various factors for a successful marriage. Information was also collected concerning the respondent's general physical health and specific health problems.
<br /><br />The Murray Research Archive has numeric data from all questionnaires and standardized psychological measures administered at the time of the initial data collection (1935-1938) and at the time of the long-term follow-up (1954-1955). The Murray Archive also holds original record paper data, and responses to the open-ended questions included in the questionnaires administered at Time 1 and Time 2. <b>Paper data deposited by James Connolly have been digitized for use.</b> <br /><br />Th
ere is a follow-up study conducted in 1979-1981 (see James Connolly, Log# 00522).",,10.7910/DVN/GQZA2U,2022-02-20,2026-04-20T23:18:04,harvard-murray-archive,10.7910_DVN_GQZA2U,v7.2,API-CALL
16,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/VNMDIQ,2.0,"Mexican American and African American Parents of Children with Learning Disabilities, 1995-1997","<p>The purpose of this study was to examine parental attitude among and between African American (AA) and Mexican American (MA) parents of children with learning disabilities, to study differences and similarities related to their ability to cope with stressors of having children with a learning disability, and to examine traditional and cultural beliefs and values about the causes, acceptance, and approaches to obtaining appropriate services. In addition, special attention was given to parental roles as well as to extended family networks. <br /> <br />  The sample consisted of 100 Mexican American and 150 African American (AA) parents; 22 African-American males and 129 females, 7 Mexican- American (MA) males and 94 Mexican-American females. The data were collected between 1975 and 1976. The age range of parents varied from 15 years to 75 years of age. A majority of parents obtained 10th-12th grade level educations. <br /> <br /> The data were collected utilizing standardized instruments and questionnaires which were administered twice, one year apart in the homes of participants or in the community centers by two researchers. Interviewers were strictly matched to the race and ethnicity of the family. Measures for the parents included perceived and objective social economic status, perception of children; needs/disabilities, coping strategies, religiosity, spirituality, self-esteem, locus of control, supportive networks, perceived stress and response to stress, depression, child behaviors, family environment, child rearing practices, and family empowerment. The Murray Archives holds paper data.
</p>",,10.7910/DVN/VNMDIQ,2022-02-03,2026-04-20T23:18:34,harvard-murray-archive,10.7910_DVN_VNMDIQ,v2.0,API-CALL
17,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/U3IEQT,3.2,"Immigration, Family Life, and Achievement Motivation Among Latino Adolescents, 1992","This study was designed to systematically examine the similarities and differences of experience among four groups of adolescents: Mexicans (born of Mexican parents and residing in Mexico), Mexican immigrants (born of Mexican parents in Mexico and now residing in the United States), second-generation Mexican Americans (born and raised in the United States of Mexican immigrant parents), and White Americans (born and raised in the United States of white, non-Hispanic, U.S.-born parents). Specifically, the study explores how family orientation (i.e., familism and family conflict) and achievement orientation differ among these groups. The participants were 189 adolescents (96 girls and 93 boys) between the ages of 13 and 18 who were attending public middle and high schools. The participants were equally divided among the four groups. Data for the Mexican sample were gathered in 1991 and 1992 in Guanajuato, one of three Mexican states from which a majority of emigrants to the United States originate. Data for the other three groups were gathered in 1992 from public schools in California.
<br /><br />  The data collection methods consisted of classroom observations, ethnographic interviews, and tests which were conducted in either English, Spanish, or both according to the students' preference and proficiency. The interviews covered demographic, life-history, and migration-related information as well as issues related to their experiences at school and with their families and peers. The interview included a number of psychological tests: Familism Scale (Sabogal et al.,1987), Family Conflict Scale (Beavers, Hampson, and Hulgus, 1985), Sentence Completion Test (De Vos, 1973), Problem Situation Test (De Vos, 1973), and Thematic Apperception Tests (Murray, 1943).
<br /><br />  The Murray Research Archive holds the completed interview booklets as well as audiotapes of interviews. A follow-up of the study is possible with the collaboration of the contributor.  <br/><br /><b>Audio Data Availability Note:</b> This study contains audio data that have been digitized. There are 284 audio files available.",,10.7910/DVN/U3IEQT,2022-09-27,2026-04-20T23:18:42,harvard-murray-archive,10.7910_DVN_U3IEQT,v3.2,API-CALL
18,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/XTEFJ5,2.2,"Career Plans and Life Patterns of College-Educated Women: A Twenty-Year Follow-up Study, 1983",<p>This study is a follow-up of Barnett's 1963 study (Log# 69) of vocational planning of college women. The purpose of the follow-up was to compare the stated vocational and life plans of three groups of seniors at Radcliffe College with their actual career and life patterns twenty years later.</p>,,10.7910/DVN/XTEFJ5,2018-03-26,2026-04-20T23:18:52,harvard-murray-archive,10.7910_DVN_XTEFJ5,v2.2,API-CALL
19,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/JYE9E0,1.2,"Working Mothers and Stress, 1980","This research was designed to assess, from the level of the individual family, the daily conditions and experiences of employed and single mothers. The data were also collected to assess the implications of these findings for children and for policies and practices relating to employment, families, and women.
<br /><br />

The sample consists of 545 families in metropolitan Toronto, stratified to include adequate numbers of single mothers, age representation of children, and use of various child-care arrangements.<br /><br />

The main instrument of the survey was a time budget completed by each member of the family above age 10. Mothers completed surveys for all children under 10. The time budget required respondents to list in detail what they did on the day in question, activity by activity. Each entry includes mention of the time, nature of the activity, location, other people present, simultaneous activities also performed, and a subjective evaluation consisting of seven-point scales describing the degree of voluntariness and stress entailed by the activity. The participants also completed a mental health and happiness scale. The interviewer observed interactions in the family while the budgets were being completed. After the completion of the time budgets, the mother was administered a structured interview covering factual information about childcare arrangements and employment, and subjective questions covering time pressures, dilemmas of working mothers, sources of pressures, suggested solutions, and family responsibilities.",,10.7910/DVN/JYE9E0,2022-04-07,2026-04-20T23:19:02,harvard-murray-archive,10.7910_DVN_JYE9E0,v1.2,API-CALL
20,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/NHXZAJ,2.2,"Premenstrual Mood and Behavior Changes, 1980","The purpose of this research was to examine the variety of changes in behavior, mood, and physical condition that appear during the premenstrual period; to differentiate the various symptoms that appear premenstrually; to provide a description of the dimensions of change; and to provide for typological categorization of the clinical features of the premenstrual period.
<br /><br />  Data were collected from a group of professional women working in New York City. The instrument used was the Premenstrual Assessment Form (PAF). This consists of a set of limited demographic data as well as information on age of onset of menses, average duration of menses, duration of premenstrual periods and menstruation, number of pregnancies/miscarriages, medications taken and any physical conditions of illness during the time period, and presence of pain. The PAF also includes 95 items which describe physical, behavioral and mood changes. Respondents rank from ""no change"" to ""extreme change"" if these symptoms were present during the premenstrual period for the last three months.
<br /><br />  The Murray Archive holds additional analogue materials for this study (copies of completed PAFs from 34 professional women; 11 are businesswomen and 23 are lawyers). If you would like to access this material, please apply to use the data.",,10.7910/DVN/NHXZAJ,2022-03-31,2026-04-20T23:19:12,harvard-murray-archive,10.7910_DVN_NHXZAJ,v2.2,API-CALL
21,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/KWMWPT,2.2,"Follow-Up Study on the Development of Achievement-Related Motives, 1979","This study was undertaken as a follow-up of Romer's research on the development of achievement-related motives (see <a href=""https://doi.org/10.7910/DVN/WRQ3QI"" target=""_blank"">Romer, Log# 00030</a>). The research was an attempt to replicate and extend Romer's original investigation of developmental aspects of motivation and performance.<br /><br /> 

The participants were White, middle-class male (N=60) and female (N=54) high school students. When studied by Romer, the majority of these students were in the fifth and seventh grades; fewer of the students in the 8th, 9th and 11th grades at the time of the original study were followed-up.<br /><br />

The same psychological measures used by Romer were readministered by means of a mailed set of instruments (although to increase the response rate some questionnaire data were collected in face-to-face interviews). The measures were five Thematic Apperception Test (TAT) projective story cues, the Broverman Sex Role Questionnaire, the Debilitating Anxiety Questionnaire, and the Coopersmith Self-Esteem Inventory. The Bem Sex Role Questionnaire was also administered and participants were asked to respond to questions regarding their educational, occupational, social and family experiences and attitudes. Romer's study could not be fully replicated because too few participants attended the performance sessions; none of the performance data is archived at the Murray Archive.<br /><br />

The Murray Research Archive has acquired the following materials from this data set: typed TAT stories, copies of completed questionnaires, and computer-accessible data. Romer's original data are also held by the Murray Archive and are archived separately.",,10.7910/DVN/KWMWPT,2022-03-30,2026-04-20T23:19:22,harvard-murray-archive,10.7910_DVN_KWMWPT,v2.2,API-CALL
